Date,GOOG,GOOGL
4/3/14,569.74,571.5
4/4/14,543.14,545.25
4/7/14,538.15,540.63
4/8/14,554.9,557.51
4/9/14,564.14,567.04
4/10/14,540.95,546.69
4/11/14,530.6,537.76
4/14/14,532.52,545.2
4/15/14,536.44,548.7
4/16/14,556.54,563.9
4/17/14,536.1,543.34
4/21/14,528.62,539.37
4/22/14,534.81,545.5
4/23/14,526.94,537.51
4/24/14,525.16,534.44
4/25/14,516.18,523.1
4/28/14,517.15,522.98
4/29/14,527.7,536.33
4/30/14,526.66,534.88
5/1/14,531.35,538.53
5/2/14,527.93,533.87
5/5/14,527.81,535.33
5/6/14,515.14,522.57
5/7/14,509.96,518
5/8/14,511,520.17
5/9/14,518.73,526.62
5/12/14,529.92,538.43
5/13/14,533.09,541.54
5/14/14,526.65,534.41
5/15/14,519.98,529.12
5/16/14,520.63,528.3
5/19/14,528.86,538.83
5/20/14,529.77,540.39
5/21/14,538.94,549.7
5/22/14,545.06,555.45
5/23/14,552.7,563.8
5/27/14,565.95,574.87
5/28/14,561.68,570.45
5/29/14,560.08,570.56
5/30/14,559.89,571.65
6/2/14,553.93,564.34
6/3/14,544.94,554.51
6/4/14,544.66,553.76
6/5/14,553.9,564.93
6/6/14,556.33,566.03
6/9/14,562.12,570.73
6/10/14,560.55,568.3
6/11/14,558.84,567.5
6/12/14,551.35,559.5
6/13/14,551.76,560.35
6/16/14,544.28,552.3
6/17/14,543.01,550.62
6/18/14,553.37,560.66
6/19/14,554.9,564.99
6/20/14,556.36,566.52
6/23/14,564.95,574.29
6/24/14,564.62,572.54
6/25/14,578.65,585.93
6/26/14,576,584.77
6/27/14,577.24,585.69
6/30/14,575.28,584.67
7/1/14,582.67,591.49
7/2/14,582.34,590.78
7/3/14,584.73,593.08
7/7/14,582.25,590.76
7/8/14,571.09,578.4
7/9/14,576.08,583.36
7/10/14,571.1,580.04
7/11/14,579.18,586.65
7/14/14,584.87,594.26
7/15/14,584.78,593.06
7/16/14,582.66,590.62
7/17/14,573.73,580.82
7/18/14,595.08,605.11
7/21/14,589.47,598.44
7/22/14,594.74,603.57
7/23/14,595.98,605.19
7/24/14,593.35,603.01
7/25/14,589.02,598.08
7/28/14,590.6,599.02
7/29/14,585.61,593.95
7/30/14,587.42,595.44
7/31/14,571.6,579.55
8/1/14,566.07,573.6
8/4/14,573.15,582.27
8/5/14,565.07,573.14
8/6/14,566.37,574.49
8/7/14,563.36,571.81
8/8/14,568.77,577.94
8/11/14,567.88,577.25
8/12/14,562.73,572.12
8/13/14,574.78,584.56
8/14/14,574.65,584.65
8/15/14,573.48,583.71
8/18/14,582.16,592.7
8/19/14,586.86,597.11
8/20/14,584.49,595.41
8/21/14,583.37,592.42
8/22/14,582.56,592.54
8/25/14,580.2,590.57
8/26/14,577.86,588.12
8/27/14,571,583
8/28/14,569.2,580.32
8/29/14,571.6,582.36
9/2/14,577.33,588.63
9/3/14,577.94,589.52
9/4/14,581.98,593.14
9/5/14,586.08,597.78
9/8/14,589.72,601.63
9/9/14,581.01,591.97
9/10/14,583.1,593.42
9/11/14,581.35,591.11
9/12/14,575.62,584.9
9/15/14,573.1,581.64
9/16/14,579.95,588.78
9/17/14,584.77,593.29
9/18/14,589.27,597.27
9/19/14,596.08,605.4
9/22/14,587.37,597.27
9/23/14,581.13,591.18
9/24/14,587.99,598.42
9/25/14,575.06,585.25
9/26/14,577.1,587.9
9/29/14,576.36,587.81
9/30/14,577.36,588.41
10/1/14,568.27,579.63
10/2/14,570.08,580.88
10/3/14,575.28,586.25
10/6/14,577.35,587.78
10/7/14,563.74,574.1
10/8/14,572.5,583.74
10/9/14,560.88,570.81
10/10/14,544.49,555.19
10/13/14,533.21,544.75
10/14/14,537.94,548.69
10/15/14,530.03,540.73
10/16/14,524.51,536.92
10/17/14,511.17,522.97
10/20/14,520.84,532.38
10/21/14,526.54,538.03
10/22/14,532.71,542.69
10/23/14,543.98,553.65
10/24/14,539.78,548.9
10/27/14,540.77,549.88
10/28/14,548.9,558.94
10/29/14,549.33,558.45
10/30/14,550.31,560.27
