	SP	DAX	FTSE	EUR	GBP
1/15/99	1243.26001	4960.220215	5941	1.1602	1.6586
1/19/99	1252	5073.149902	6027.600098	1.1555	1.6466
1/20/99	1256.619995	5143.060059	6105.600098	1.1603	1.651
1/21/99	1235.160034	5156.669922	6022.299805	1.1583	1.6546
1/22/99	1225.189941	5019.279785	5861.200195	1.1573	1.6596
1/25/99	1233.97998	4982.450195	5880.899902	1.1572	1.6602
1/26/99	1252.310059	4986.799805	5885.700195	1.1513	1.6528
1/27/99	1243.170044	5061.180176	5876.399902	1.1405	1.649
1/28/99	1265.369995	5096.410156	5872.5	1.1358	1.6422
1/29/99	1279.640015	5159.959961	5896	1.1302	1.6388
2/1/99	1273	5190.819824	6012.399902	1.1324	1.6457
2/2/99	1261.98999	5166.870117	6013	1.1344	1.6378
2/3/99	1272.069946	5085.660156	5940.299805	1.1271	1.6368
2/4/99	1248.48999	5077.850098	5939.899902	1.1284	1.6418
2/5/99	1239.400024	5080.77002	5855.299805	1.1232	1.6308
2/8/99	1243.77002	5027.220215	5834.899902	1.1313	1.637
2/9/99	1216.140015	4904.350098	5779.899902	1.1332	1.6288
2/10/99	1223.550049	4796.819824	5770.200195	1.1308	1.6263
2/11/99	1254.040039	4839.330078	5888.5	1.1249	1.6256
2/12/99	1230.130005	4888.740234	5950.700195	1.1181	1.6334
2/16/99	1241.869995	4904.680176	6108.600098	1.125	1.6378
2/17/99	1224.030029	4810.089844	6078.399902	1.1247	1.6333
2/18/99	1237.280029	4845.080078	6074.899902	1.1135	1.6316
2/19/99	1239.219971	4802.379883	6031.200195	1.1039	1.6256
2/22/99	1272.140015	4845.180176	6069.899902	1.0972	1.6114
2/23/99	1271.180054	4987.560059	6155.200195	1.1019	1.6044
2/24/99	1253.410034	5062.310059	6307.600098	1.1046	1.603
2/25/99	1245.02002	4958.580078	6206.5	1.098	1.6048
3/1/99	1236.160034	4784.310059	6060.899902	1.0919	1.6132
3/2/99	1225.5	4804.02002	6061.299805	1.0912	1.6175
3/3/99	1227.699951	4697.669922	6048.299805	1.0841	1.6068
3/4/99	1246.640015	4678.720215	6101.5	1.0806	1.6073
3/5/99	1275.469971	4839.089844	6205.5	1.0891	1.6078
3/8/99	1282.72998	4788.689941	6208.899902	1.0884	1.6119
3/9/99	1279.839966	4758.459961	6237.700195	1.0952	1.6268
3/10/99	1286.839966	4721.410156	6241.5	1.0847	1.6268
3/11/99	1297.680054	4754.410156	6335.700195	1.0925	1.6314
3/12/99	1294.589966	5008.160156	6282.200195	1.0949	1.6248
3/15/99	1307.26001	5029.240234	6206.799805	1.0915	1.6246
3/16/99	1306.380005	5094.629883	6201.899902	1.0984	1.6282
3/17/99	1297.819946	5077.430176	6140.600098	1.1011	1.6311
3/18/99	1316.550049	5013.620117	6114.299805	1.0919	1.6288
3/19/99	1299.290039	5099.47998	6163.200195	1.0881	1.6273
3/22/99	1297.01001	5027.060059	6152.799805	1.0878	1.6267
3/23/99	1262.140015	4915.029785	6060.5	1.0942	1.6426
3/24/99	1268.589966	4780.129883	6016.700195	1.0885	1.6187
3/29/99	1310.170044	4876.919922	6252.899902	1.0762	1.6139
3/30/99	1300.75	4856.839844	6264.200195	1.0794	1.6151
3/31/99	1286.369995	4884.200195	6295.299805	1.0815	1.6053
4/1/99	1293.719971	4914.589844	6330	1.0789	1.6039
4/6/99	1317.890015	4965.290039	6415.299805	1.0796	1.5962
4/7/99	1326.890015	5052.27002	6473.200195	1.0842	1.611
4/8/99	1343.97998	5068.75	6437.899902	1.08	1.6069
4/9/99	1348.349976	5124.180176	6472.799805	1.0858	1.6153
4/12/99	1358.630005	5159.160156	6441.200195	1.078	1.6137
4/13/99	1349.819946	5199.180176	6513.100098	1.0792	1.6181
4/14/99	1328.439941	5182.160156	6493.600098	1.0763	1.6138
4/15/99	1322.849976	5181.009766	6466.100098	1.0693	1.6133
4/16/99	1319	5155.350098	6420.600098	1.0635	1.6166
4/19/99	1289.47998	5220.149902	6515.299805	1.0665	1.6185
4/20/99	1306.170044	5087.290039	6319.799805	1.0616	1.6085
4/21/99	1336.119995	5163.290039	6311	1.0596	1.6095
4/22/99	1358.819946	5218.819824	6413.600098	1.0658	1.6177
4/23/99	1356.849976	5195.419922	6428	1.0609	1.6133
4/26/99	1360.040039	5256.220215	6503.600098	1.0631	1.616
4/27/99	1362.800049	5347.5	6593.600098	1.0664	1.618
4/28/99	1350.910034	5348.609863	6598.799805	1.06	1.6108
4/29/99	1342.829956	5334.419922	6497.600098	1.0578	1.6113
4/30/99	1335.180054	5393.109863	6552.200195	1.0572	1.6106
5/3/99	1354.630005	5377.560059	6552.200195	1.0586	1.6157
5/4/99	1332	5383.209961	6533.100098	1.0664	1.6291
