time,date,S&P500,ret
1,3/5/2013,1539.790039,0.009520552
2,3/6/2013,1541.459961,0.001083925
3,3/7/2013,1544.26001,0.001814844
4,3/8/2013,1551.180054,0.004471129
5,3/11/2013,1556.219971,0.003243819
6,3/12/2013,1552.47998,-0.002406146
7,3/13/2013,1554.52002,0.00131319
8,3/14/2013,1563.22998,0.005587352
9,3/15/2013,1560.699951,-0.001619774
10,3/18/2013,1552.099976,-0.00552557
11,3/19/2013,1548.339966,-0.00242547
12,3/20/2013,1558.709961,0.006675164
13,3/21/2013,1545.800049,-0.008316924
14,3/22/2013,1556.890015,0.007148644
15,3/25/2013,1551.689941,-0.00334563
16,3/26/2013,1563.77002,0.007754964
17,3/27/2013,1562.849976,-0.000588523
18,3/28/2013,1569.189941,0.004048463
19,4/1/2013,1562.170044,-0.004483617
20,4/2/2013,1570.25,0.005158934
21,4/3/2013,1553.689941,-0.010602133
22,4/4/2013,1559.97998,0.004040279
23,4/5/2013,1553.280029,-0.004304145
24,4/8/2013,1563.069946,0.006282959
25,4/9/2013,1568.609985,0.003538066
26,4/10/2013,1587.72998,0.012115443
27,4/11/2013,1593.369995,0.003545956
28,4/12/2013,1588.849976,-0.002840798
29,4/15/2013,1552.359985,-0.023234125
30,4/16/2013,1574.569946,0.014205841
31,4/17/2013,1552.01001,-0.014431313
32,4/18/2013,1541.609985,-0.006723556
33,4/19/2013,1555.25,0.008808989
34,4/22/2013,1562.5,0.004650798
35,4/23/2013,1578.780029,0.010365313
36,4/24/2013,1578.790039,6.34032E-06
37,4/25/2013,1585.160034,0.004026614
38,4/26/2013,1582.23999,-0.001843812
39,4/29/2013,1593.609985,0.007160315
40,4/30/2013,1597.569946,0.002481817
41,5/1/2013,1582.699951,-0.009351473
42,5/2/2013,1597.589966,0.009364004
43,5/3/2013,1614.420044,0.010479564
44,5/6/2013,1617.5,0.001905961
45,5/7/2013,1625.959961,0.005216639
46,5/8/2013,1632.689941,0.004130539
47,5/9/2013,1626.670044,-0.003693918
48,5/10/2013,1633.699951,0.004312344
49,5/13/2013,1633.77002,4.28888E-05
50,5/14/2013,1650.339966,0.010091067
51,5/15/2013,1658.780029,0.005101103
52,5/16/2013,1650.469971,-0.005022332
53,5/17/2013,1667.469971,0.010247412
54,5/20/2013,1666.290039,-0.000707869
55,5/21/2013,1669.160034,0.001720905
56,5/22/2013,1655.349976,-0.008308074
57,5/23/2013,1650.51001,-0.002928115
58,5/24/2013,1649.599976,-0.000551517
59,5/28/2013,1660.060059,0.006320962
60,5/29/2013,1648.359985,-0.007072937
61,5/30/2013,1654.410034,0.003663625
62,5/31/2013,1630.73999,-0.014410577
63,6/3/2013,1640.420044,0.00591844
64,6/4/2013,1631.380005,-0.005526048
65,6/5/2013,1608.900024,-0.013875555
66,6/6/2013,1622.560059,0.008454455
67,6/7/2013,1643.380005,0.012749914
68,6/10/2013,1642.810059,-0.000346873
69,6/11/2013,1626.130005,-0.010205264
70,6/12/2013,1612.52002,-0.008404777
71,6/13/2013,1636.359985,0.014676069
72,6/14/2013,1626.72998,-0.005902401
73,6/17/2013,1639.040039,0.007538876
74,6/18/2013,1651.810059,0.007760964
75,6/19/2013,1628.930054,-0.013948301
76,6/20/2013,1588.189941,-0.025328425
77,6/21/2013,1592.430054,0.002666219
78,6/24/2013,1573.089966,-0.012219369
79,6/25/2013,1588.030029,0.009452456
80,6/26/2013,1603.26001,0.00954479
81,6/27/2013,1613.199951,0.006180691
82,6/28/2013,1606.280029,-0.004298789
83,7/1/2013,1614.959961,0.0053892
84,7/2/2013,1614.079956,-0.000545057
85,7/3/2013,1615.410034,0.000823708
86,7/5/2013,1631.890015,0.010150046
87,7/8/2013,1640.459961,0.005237805
88,7/9/2013,1652.319946,0.007203662
89,7/10/2013,1652.619995,0.000181576
90,7/11/2013,1675.02002,0.013463213
91,7/12/2013,1680.189941,0.00308173
92,7/15/2013,1682.5,0.001373935
93,7/16/2013,1676.26001,-0.003715655
94,7/17/2013,1680.910034,0.002770206
95,7/18/2013,1689.369995,0.005020342
96,7/19/2013,1692.089966,0.001608756
97,7/22/2013,1695.530029,0.002030962
98,7/23/2013,1692.390015,-0.001853653
99,7/24/2013,1685.939941,-0.003818503
100,7/25/2013,1690.25,0.00255321
101,7/26/2013,1691.650024,0.000827951
102,7/29/2013,1685.329956,-0.003743034
103,7/30/2013,1685.959961,0.000373747
104,7/31/2013,1685.72998,-0.000136419
105,8/1/2013,1706.869995,0.012462588
106,8/2/2013,1709.670044,0.001639114
107,8/5/2013,1707.140015,-0.001480931
108,8/6/2013,1697.369995,-0.005739473
109,8/7/2013,1690.910034,-0.003813126
110,8/8/2013,1697.47998,0.003877921
111,8/9/2013,1691.420044,-0.003576348
112,8/12/2013,1689.469971,-0.001153586
113,8/13/2013,1694.160034,0.00277221
114,8/14/2013,1685.390015,-0.005190063
115,8/15/2013,1661.319946,-0.014384565
116,8/16/2013,1655.829956,-0.003310067
117,8/19/2013,1646.060059,-0.005917778
118,8/20/2013,1652.349976,0.003813913
119,8/21/2013,1642.800049,-0.00579637
120,8/22/2013,1656.959961,0.008582442
121,8/23/2013,1663.5,0.003939242
122,8/26/2013,1656.780029,-0.004047839
123,8/27/2013,1630.47998,-0.016001539
124,8/28/2013,1634.959961,0.002743878
125,8/29/2013,1638.170044,0.001961477
126,8/30/2013,1632.969971,-0.003179367
127,9/3/2013,1639.77002,0.004155575
128,9/4/2013,1653.079956,0.008084188
129,9/5/2013,1655.079956,0.001209132
130,9/6/2013,1655.170044,5.44297E-05
131,9/9/2013,1671.709961,0.009943282
132,9/10/2013,1683.98999,0.00731894
133,9/11/2013,1689.130005,0.003047635
134,9/12/2013,1683.420044,-0.003386142
135,9/13/2013,1687.98999,0.002711001
136,9/16/2013,1697.599976,0.005677009
137,9/17/2013,1704.76001,0.004208869
138,9/18/2013,1725.52002,0.012104122
139,9/19/2013,1722.339966,-0.001844654
140,9/20/2013,1709.910034,-0.007243054
141,9/23/2013,1701.839966,-0.004730759
142,9/24/2013,1697.420044,-0.002600522
143,9/25/2013,1692.77002,-0.002743225
144,9/26/2013,1698.670044,0.003479366
145,9/27/2013,1691.75,-0.004082122
